"code","name","city","state","country","x","y"
"DHF","Al Dhafra Military","Abu Dhabi",,"AE","54.3705","24.4764"
"AZI","Bateen","Abu Dhabi",,"AE","54.3705","24.4764"
"AUH","Abu Dhabi Intl","Abu Dhabi",,"AE","54.3705","24.4764"
"AAN","Al Ain","Al Ain",,"AE","55.7443","24.2258"
"FJR","Fujairah Intl Arpt","Al-Fujairah",,"AE","56.2313","25.3149"
"DXB","Dubai International","Dubai",,"AE","55.3075","25.2711"
"NHD","Military Airport","Minhad Ab",,"AE","55.3711","25.0267"
"RKT","Ras Al Khaimah","Ras Al Khaimah",,"AE","56.0917","25.3588"
"SHJ","Sharjah","Sharjah",,"AE","55.4106","25.3719"
"BIN","Bamiyan","Bamiyan",,"AF","67.4167","35.25"
"BST","Bost","Bost",,"AF","64.3667","31.55"
"CCN","Chakcharan","Chakcharan",,"AF","65.2667","34.5333"
"DAZ","Darwaz","Darwaz",,"AF","70.8773","38.4628"
"FBD","Faizabad","Faizabad",,"AF","64.8662","36.2724"
"FAH","Farah","Farah",,"AF","62.1123","32.3754"
"GRG","Gardez","Gardez",,"AF","69.2255","33.6031"
"GZI","Ghazni","Ghazni",,"AF","68.426","33.5533"
"HEA","Herat","Herat",,"AF","62.1792","34.3739"
"JAA","Jalalabad","Jalalabad",,"AF","70.4612","34.4344"
"KBL","Khwaja Rawash","Kabul",,"AF","69.1717","34.5285"
"KDH","Kandahar","Kandahar",,"AF","65.7615","31.6031"
"KHT","Khost","Khost",,"AF","69.8597","33.3585"
"KWH","Khwahan","Khwahan",,"AF","70.2","37.8833"
"UND","Kunduz","Kunduz",,"AF","68.7155","36.8599"
"KUR","Kuran-O-Munjan","Kuran-O-Munjan",,"AF","71.114","38.3933"
"MMZ","Maimana","Maimana",,"AF","64.75","35.9333"
"MZR","Mazar-I-Sharif","Mazar-I-Sharif",,"AF","67.11","36.7038"
"IMZ","Nimroz","Nimroz",,"AF","62.4504","31.0261"
"LQN","Qala Nau","Qala Nau",,"AF","0","0"
"SBF","Sardeh Band","Sardeh Band",,"AF","68.6366","33.3207"
"SGA","Sheghnan","Sheghnan",,"AF","71.6","37.6167"
"TQN","Taluqan","Taluqan",,"AF","69.5333","36.7667"
"TII","Tirinkot","Tirinkot",,"AF","0","0"
"URN","Urgoon","Urgoon",,"AF","0","0"
"URZ","Uruzgan","Uruzgan",,"AF","66.2367","33.201"
"ZAJ","Zaranj","Zaranj",,"AF","61.8865","31.1124"
"ANU","V.C. Bird Intl","Antigua",,"AG","-61.8175","17.0747"
"BBQ","Barbuda","Barbuda",,"AG","-61.7707","17.6268"
"AXA","Wallblake","Anguilla",,"AI","-63.0501","18.2232"
"TIA","Rinas","Tirana",,"AL","19.8318","41.3316"
"LWN","Gyoumri","Gyoumri",,"AM","43.8359","40.7955"
"EVN","Yerevan","Yerevan",,"AM","44.4993","40.1586"
"BON","Flamingo Intl","Bonaire",,"AN","-68.2624","12.2019"
"CUR","Aeropuerto Hato","Curacao",,"AN","-68.8824","12.1224"
"SAB","J. Yrausquin","Saba Island",,"AN","-63.2327","17.6355"
"EUX","F D Roosevelt","St Eustatius",,"AN","-62.9833","17.4833"
"SXM","Princ. Juliana","St Maarten",,"AN","-63.0736","18.0308"
"AZZ","Ambriz","Ambriz",,"AO","13.1193","-7.86308"
"ANL","Andulo","Andulo",,"AO","16.7001","-11.4813"
"BUG","Gen V Deslandes","Benguela",,"AO","13.4056","-12.5765"
"CAB","Cabinda","Cabinda",,"AO","12.1898","-5.55655"
"CFF","Cafunfo","Cafunfo",,"AO","17.9947","-8.77391"
"CNZ","Cangamba","Cangamba",,"AO","19.8542","-13.7003"
"KNP","Capanda","Capanda",,"AO","12.1898","-5.55655"
"CBT","Catumbela","Catumbela",,"AO","14.3463","-13.0278"
"CAV","Cazombo","Cazombo",,"AO","22.8995","-11.8954"
"PGI","Chitato","Chitato",,"AO","20.8037","-7.35753"
"CTI","Cuito Cuanavale","Cuito Cuanavale",,"AO","19.188","-15.3037"
"DRC","Dirico","Dirico",,"AO","20.7816","-17.9882"
"DUE","Dundo","Dundo",,"AO","20.8195","-7.37418"
"NOV","Huambo","Huambo",,"AO","15.7362","-12.7603"
"JMB","Jamba","Jamba",,"AO","21.1167","-15.1333"
"SVP","Kuito","Kuito",,"AO","16.9391","-12.3804"
"LAD","4 de Fevereiro","Luanda",,"AO","13.2375","-8.81351"
"UAL","Luau","Luau",,"AO","22.2295","-10.7073"
"SDD","Lubango","Lubango",,"AO","13.4924","-14.9185"
"LUO","Luena","Luena",,"AO","19.9046","-11.791"
"LBZ","Lukapa","Lukapa",,"AO","20.7345","-8.42412"
"GGC","Lumbala","Lumbala",,"AO","21.438","-14.1049"
"LZM","Luzamba","Luzamba",,"AO","18.0495","-9.11639"
"SSY","M'Banza Congo","M'Banza Congo",,"AO","14.2338","-6.26942"
"MEG","Malange","Malange",,"AO","16.341","-9.54165"
"SPP","Menongue","Menongue",,"AO","17.6909","-14.6579"
"NRQ","N'Riquinha","N'Riquinha",,"AO","0","0"
"ARZ","N'Zeto","N'Zeto",,"AO","12.8667","-7.23333"
"MSZ","Namibe","Namibe",,"AO","12.1571","-15.1857"
"NDF","Ndalatandos","Ndalatandos",,"AO","0","0"
"GXG","Negage","Negage",,"AO","15.2721","-7.76062"
"NGV","Ngiva","Ngiva",,"AO","15.7285","-17.0685"
